1 2 1	1095171960 2004-9-14
3 2 -1	1095173580 2004-9-14
4 2 1	1095174480 2004-9-14
5 2 1	1095176220 2004-9-14
6 2 1	1095182880 2004-9-14
7 2 1	1095183420 2004-9-14
8 2 1	1095188640 2004-9-14
9 2 1	1095190200 2004-9-14
10 2 1	1095192780 2004-9-14
11 2 1	1095215280 2004-9-15
12 2 1	1095224160 2004-9-15
13 2 1	1095232740 2004-9-15
14 2 1	1095243600 2004-9-15
15 2 1	1095339000 2004-9-16
16 2 1	1095341460 2004-9-16
17 2 1	1095421740 2004-9-17
18 2 1	1095447420 2004-9-17
19 2 1	1095451860 2004-9-17
20 2 1	1095458520 2004-9-17
21 2 1	1095462360 2004-9-17
22 2 1	1095651360 2004-9-20
23 2 1	1095683280 2004-9-20
24 2 1	1095711600 2004-9-20
25 26 1	1095161940 2004-9-14
27 26 1	1095162060 2004-9-14
28 26 1	1095165600 2004-9-14
5 26 1	1095166800 2004-9-14
20 26 1	1095169380 2004-9-14
29 26 1	1095170520 2004-9-14
1 26 1	1095172680 2004-9-14
3 26 1	1095173400 2004-9-14
30 26 1	1095173580 2004-9-14
6 26 1	1095182880 2004-9-14
31 26 1	1095182940 2004-9-14
7 26 1	1095183600 2004-9-14
32 26 1	1095184740 2004-9-14
8 26 1	1095188640 2004-9-14
33 26 1	1095189300 2004-9-14
34 26 1	1095189600 2004-9-14
9 26 1	1095190200 2004-9-14
10 26 1	1095192780 2004-9-14
35 26 1	1095192900 2004-9-14
36 26 1	1095199140 2004-9-14
11 26 1	1095215280 2004-9-15
37 26 1	1095215640 2004-9-15
14 26 1	1095243540 2004-9-15
38 26 1	1095282660 2004-9-15
39 26 1	1095283080 2004-9-15
40 26 1	1095283980 2004-9-15
41 26 1	1095286740 2004-9-15
42 26 1	1095323280 2004-9-16
43 26 1	1095323940 2004-9-16
15 26 1	1095339060 2004-9-16
17 26 1	1095364740 2004-9-16
44 26 1	1095377820 2004-9-16
45 26 1	1095410820 2004-9-17
19 26 1	1095451920 2004-9-17
46 26 1	1095454380 2004-9-17
21 26 1	1095462420 2004-9-17
47 26 1	1095466200 2004-9-18
48 26 1	1095688560 2004-9-20
24 26 1	1095711660 2004-9-20
49 26 1	1095720900 2004-9-20
25 50 1	1094949960 2004-9-12
51 50 1	1094950020 2004-9-12
21 50 1	1094951700 2004-9-12
9 50 1	1094953800 2004-9-12
5 50 1	1094954940 2004-9-12
11 50 1	1094962860 2004-9-12
8 50 1	1094996820 2004-9-12
6 50 1	1095000300 2004-9-12
52 50 1	1095019020 2004-9-12
19 50 1	1095029460 2004-9-12
20 50 1	1095031380 2004-9-12
53 50 1	1095032580 2004-9-12
14 50 1	1095063720 2004-9-13
54 50 1	1095118920 2004-9-13
45 50 1	1095122640 2004-9-14
7 50 1	1095183720 2004-9-14
15 50 1	1095339180 2004-9-16
55 50 1	1095362400 2004-9-16
56 50 1	1095475800 2004-9-18
42 50 1	1095491880 2004-9-18
57 6 1	1094874600 2004-9-11
58 6 1	1094875980 2004-9-11
11 6 1	1094878200 2004-9-11
28 6 1	1094897460 2004-9-11
10 6 1	1094902200 2004-9-11
51 6 1	1094908800 2004-9-11
25 6 1	1094908860 2004-9-11
8 6 1	1094914560 2004-9-11
59 6 1	1094918400 2004-9-11
5 6 1	1094925060 2004-9-11
35 6 1	1094951040 2004-9-12
3 6 -1	1094953560 2004-9-12
60 6 1	1095022260 2004-9-12
19 6 1	1095029460 2004-9-12
20 6 1	1095031620 2004-9-12
7 6 1	1095184140 2004-9-14
61 6 1	1095303660 2004-9-16
33 6 1	1095485640 2004-9-18
51 32 1	1094770020 2004-9-9
25 32 1	1094770440 2004-9-9
29 32 1	1094772240 2004-9-9
27 32 1	1094772360 2004-9-9
19 32 1	1094776500 2004-9-10
4 32 1	1094808840 2004-9-10
6 32 1	1094838120 2004-9-10
11 32 1	1094871540 2004-9-11
35 32 1	1094950860 2004-9-12
10 32 1	1095019920 2004-9-12
7 32 1	1095184440 2004-9-14
5 32 1	1095286800 2004-9-15
15 32 1	1095339300 2004-9-16
23 32 1	1095374460 2004-9-16
27 8 1	1095192720 2004-9-14
10 8 1	1095192900 2004-9-14
63 8 1	1095192960 2004-9-14
51 8 1	1095193080 2004-9-14
6 8 1	1095193200 2004-9-14
4 8 -1	1095193500 2004-9-14
17 8 1	1095195300 2004-9-14
5 8 1	1095195600 2004-9-14
64 8 1	1095199500 2004-9-14
11 8 1	1095215400 2004-9-15
65 8 1	1095215700 2004-9-15
12 8 -1	1095223080 2004-9-15
66 8 1	1095256140 2004-9-15
25 8 1	1095257160 2004-9-15
24 8 1	1095257520 2004-9-15
67 8 -1	1095269100 2004-9-15
68 8 -1	1095279480 2004-9-15
3 8 -1	1095306420 2004-9-16
69 8 1	1095313800 2004-9-16
70 8 -1	1095318780 2004-9-16
40 8 -1	1095322080 2004-9-16
42 8 -1	1095323100 2004-9-16
71 8 -1	1095342000 2004-9-16
49 8 1	1095355080 2004-9-16
11 27 1	1095322200 2004-9-16
72 27 1	1095322560 2004-9-16
34 27 1	1095322800 2004-9-16
17 27 1	1095336060 2004-9-16
9 27 1	1095336300 2004-9-16
36 27 1	1095337620 2004-9-16
10 27 1	1095338160 2004-9-16
73 27 -1	1095338400 2004-9-16
74 27 1	1095339120 2004-9-16
75 27 1	1095343800 2004-9-16
30 27 1	1095346020 2004-9-16
20 27 1	1095348240 2004-9-16
76 27 1	1095351900 2004-9-16
5 27 1	1095354240 2004-9-16
6 27 1	1095354420 2004-9-16
8 27 1	1095356040 2004-9-16
55 27 1	1095362460 2004-9-16
25 27 1	1095373620 2004-9-16
35 27 1	1095373920 2004-9-16
3 27 1	1095397200 2004-9-17
19 27 1	1095452100 2004-9-17
15 27 1	1095456900 2004-9-17
77 27 1	1095459060 2004-9-17
78 27 1	1095464340 2004-9-17
79 27 1	1095532860 2004-9-18
70 27 1	1095543000 2004-9-18
80 27 -1	1095621840 2004-9-19
23 27 1	1095683400 2004-9-20
46 27 1	1095701640 2004-9-20
24 27 1	1095711720 2004-9-20
81 27 1	1095718140 2004-9-20
49 27 1	1095732180 2004-9-21
82 27 1	1095826500 2004-9-22
33 27 1	1095893640 2004-9-22
6 83 1	1095374040 2004-9-16
35 83 -1	1095374100 2004-9-16
11 83 1	1095374160 2004-9-16
58 83 -1	1095379380 2004-9-17
84 83 1	1095440940 2004-9-17
5 83 1	1095447840 2004-9-17
7 83 -1	1095448200 2004-9-17
85 83 1	1095600540 2004-9-19
46 83 1	1095701400 2004-9-20
86 83 -1	1095710880 2004-9-20
78 83 -1	1095723480 2004-9-20
49 83 -1	1095732180 2004-9-21
68 83 -1	1095894900 2004-9-22
42 83 -1	1095999540 2004-9-24
10 83 -1	1096004580 2004-9-24
54 83 -1	1096019160 2004-9-24
71 83 -1	1096047240 2004-9-24
9 10 1	1094624220 2004-9-8
87 10 1	1094650140 2004-9-8
4 10 -1	1094650440 2004-9-8
5 10 1	1094658720 2004-9-8
8 10 1	1094669100 2004-9-8
17 10 1	1094730600 2004-9-9
14 10 -1	1094736420 2004-9-9
42 10 -1	1094795220 2004-9-10
88 10 -1	1094807220 2004-9-10
11 10 1	1094871900 2004-9-11
6 10 1	1094914380 2004-9-11
89 10 1	1094934180 2004-9-11
90 10 -1	1094937240 2004-9-11
49 10 1	1095009480 2004-9-12
91 10 -1	1095084480 2004-9-13
92 87 1	1080530220 2004-3-29
93 87 1	1080530400 2004-3-29
94 87 1	1080536100 2004-3-29
95 87 -1	1080536400 2004-3-29
15 87 -1	1080555900 2004-3-29
96 87 -1	1080559500 2004-3-29
97 87 1	1080564780 2004-3-29
17 87 1	1080570060 2004-3-29
98 87 1	1080576300 2004-3-29
99 87 1	1080592980 2004-3-29
100 87 -1	1080606960 2004-3-30
101 87 -1	1080610500 2004-3-30
102 87 -1	1080647520 2004-3-30
103 87 -1	1080649560 2004-3-30
104 87 1	1080669780 2004-3-30
105 87 1	1080687240 2004-3-30
106 87 1	1080698880 2004-3-31
107 87 1	1080718500 2004-3-31
11 87 -1	1080727500 2004-3-31
108 87 1	1080745260 2004-3-31
109 87 -1	1080748080 2004-3-31
110 87 1	1080748260 2004-3-31
14 87 -1	1080750000 2004-3-31
111 87 -1	1080757140 2004-3-31
112 87 -1	1080762540 2004-3-31
113 87 1	1080762780 2004-3-31
49 87 1	1080781380 2004-4-1
114 87 -1	1080811320 2004-4-1
115 87 -1	1080816960 2004-4-1
116 87 1	1080851700 2004-4-1
64 87 1	1080976860 2004-4-3
9 117 1	1095448680 2004-9-17
5 117 1	1095450180 2004-9-17
19 117 1	1095451740 2004-9-17
49 117 1	1095453660 2004-9-17
11 117 1	1095456420 2004-9-17
35 117 1	1095460020 2004-9-17
4 117 1	1095518640 2004-9-18
6 117 1	1095522360 2004-9-18
8 117 1	1095532380 2004-9-18
69 117 1	1095536880 2004-9-18
25 117 1	1095563880 2004-9-19
86 117 1	1095710460 2004-9-20
10 117 1	1095841320 2004-9-22
118 117 1	1095874500 2004-9-22
24 117 1	1095877560 2004-9-22
119 117 1	1095879960 2004-9-22
100 117 1	1095892260 2004-9-22
14 117 1	1095904020 2004-9-23
120 117 1	1095984600 2004-9-24
121 117 1	1096035420 2004-9-24
9 122 -1	1100026920 2004-11-9
123 122 -1	1100027220 2004-11-9
23 122 -1	1100027280 2004-11-9
54 122 -1	1100027940 2004-11-9
124 122 -1	1100028000 2004-11-9
63 122 -1	1100028780 2004-11-9
125 122 -1	1100029800 2004-11-9
67 122 -1	1100030040 2004-11-9
126 122 -1	1100035320 2004-11-9
127 122 -1	1100035620 2004-11-9
51 122 -1	1100036580 2004-11-9
18 122 -1	1100037180 2004-11-9
128 122 -1	1100037360 2004-11-9
119 122 -1	1100037420 2004-11-9
129 122 -1	1100040300 2004-11-9
21 122 -1	1100041440 2004-11-9
27 122 -1	1100041680 2004-11-9
25 122 -1	1100041920 2004-11-9
130 122 -1	1100042160 2004-11-9
131 122 -1	1100042640 2004-11-9
94 122 -1	1100044620 2004-11-9
35 122 -1	1100046780 2004-11-10
70 122 -1	1100062920 2004-11-10
132 122 -1	1100067000 2004-11-10
58 122 -1	1100067420 2004-11-10
133 122 -1	1100073660 2004-11-10
78 122 -1	1100094900 2004-11-10
134 122 -1	1100108160 2004-11-10
8 122 -1	1100126640 2004-11-10
4 135 1	1095698760 2004-9-20
39 135 1	1095701160 2004-9-20
86 135 -1	1095710160 2004-9-20
49 135 1	1095720660 2004-9-20
35 135 1	1095778920 2004-9-21
136 135 1	1095818280 2004-9-22
10 135 1	1095841680 2004-9-22
133 135 -1	1095861720 2004-9-22
27 135 1	1095874860 2004-9-22
25 135 1	1095879540 2004-9-22
137 135 1	1096082460 2004-9-25
33 135 1	1096103520 2004-9-25
11 135 1	1096119360 2004-9-25
6 135 1	1096140900 2004-9-25
5 135 1	1096247400 2004-9-27
138 139 1	1095707880 2004-9-20
23 139 -1	1095709200 2004-9-20
86 139 -1	1095709260 2004-9-20
36 139 -1	1095710520 2004-9-20
20 139 -1	1095717780 2004-9-20
78 139 -1	1095723900 2004-9-20
70 139 -1	1095726240 2004-9-21
49 139 1	1095732060 2004-9-21
35 139 -1	1095779160 2004-9-21
19 139 1	1095796740 2004-9-21
42 139 1	1095827280 2004-9-22
25 45 1	1095713580 2004-9-20
140 45 1	1095714180 2004-9-20
77 45 1	1095716580 2004-9-20
54 45 1	1095717000 2004-9-20
20 45 1	1095717900 2004-9-20
27 45 1	1095719220 2004-9-20
30 45 1	1095736260 2004-9-21
31 45 1	1095776220 2004-9-21
35 45 1	1095779220 2004-9-21
78 45 1	1095785520 2004-9-21
17 45 1	1095794700 2004-9-21
19 45 1	1095796800 2004-9-21
8 45 1	1095803940 2004-9-21
49 45 1	1095806160 2004-9-21
141 45 1	1095829260 2004-9-22
42 45 1	1095829440 2004-9-22
10 45 1	1095841200 2004-9-22
11 45 1	1095842640 2004-9-22
142 45 1	1095847620 2004-9-22
143 45 1	1095861720 2004-9-22
24 45 1	1095877500 2004-9-22
29 45 1	1095944400 2004-9-23
70 45 1	1096004940 2004-9-24
144 45 1	1096035540 2004-9-24
68 45 -1	1096046820 2004-9-24
23 45 1	1096078620 2004-9-25
33 45 1	1096103520 2004-9-25
